"Longitude","Latitude"
-87.69766234,41.68795091
-87.69798597,41.68794465
-87.69826021,41.6879468
-87.69843633,41.68794818
-87.69881553,41.68794273
-87.69886921,41.68794201
-87.69903713,41.68793977
-87.69936265,41.6879354
-87.69947336,41.68793334
-87.69946403,41.6877219
-87.69945873,41.68757628
-87.69945167,41.68740385
-87.69944331,41.68719976
-87.69943599,41.68698335
-87.69942866,41.68676804
-87.69942031,41.68658259
-87.69941817,41.68652146
-87.69941144,41.68632891
-87.69939785,41.68614851
-87.69939777,41.68614739
-87.70062408,41.68613631
-87.70062399,41.68613421
-87.7006154,41.68593506
-87.7006053,41.68570199
-87.70060241,41.68561797
-87.7005955,41.68541745
-87.70058794,41.68519556
-87.70057857,41.68496658
-87.70056717,41.68470671
-87.70056047,41.68453144
-87.70055272,41.6842628
-87.70124238,41.68425203
-87.70164581,41.68424553
-87.70177683,41.68424393
-87.70215591,41.68423933
-87.70265367,41.68423004
-87.70298141,41.68422507
-87.70327791,41.68422056
-87.70368446,41.68421335
-87.70401333,41.68420818
-87.70450529,41.68420072
-87.70486982,41.6841958
-87.70504051,41.6841935
-87.70541707,41.68418728
-87.70540482,41.68393241
-87.70539784,41.68375493
-87.70539715,41.68373865
-87.70539135,41.68360187
-87.70538598,41.68348707
-87.70537797,41.68327689
-87.70536976,41.68306166
-87.7053625,41.68287147
-87.70536077,41.68282555
-87.70535505,41.68267334
-87.70534891,41.68251477
-87.70534667,41.68244472
-87.70534386,41.68236243
-87.70534079,41.68227262
-87.70533194,41.68204602
-87.70532657,41.6819088
-87.70532461,41.68185852
-87.70532017,41.68175767
-87.70531234,41.68158111
-87.70530667,41.68144707
-87.70529909,41.68126768
-87.705296,41.6811714
-87.70529089,41.68101878
-87.70528979,41.68098595
-87.70528452,41.68083836
-87.70527891,41.68068539
-87.70528496,41.68057886
-87.7058116,41.68056601
-87.70609386,41.68056105
-87.70647527,41.68055723
-87.70685516,41.68055595
-87.70714577,41.68055342
-87.70732363,41.68056638
-87.70757273,41.68056398
-87.70764355,41.68056294
-87.70771492,41.6805617
-87.70879782,41.68056131
-87.70884973,41.68056078
-87.70908342,41.68055836
-87.70928127,41.68055603
-87.70949017,41.68055388
-87.70968058,41.680552
-87.70976621,41.68055147
-87.70993108,41.68054814
-87.70997209,41.68054346
-87.7100018,41.68053387
-87.71013225,41.68046216
-87.71048719,41.68044962
-87.71074799,41.68044823
-87.71103986,41.68044443
-87.7112202,41.6804422
-87.71145242,41.68044026
-87.71147878,41.68135655
-87.71141122,41.68227293
-87.71143759,41.68319268
-87.71145429,41.68409442
-87.71161052,41.68409195
-87.71193338,41.6840875
-87.71212026,41.68408511
-87.71232336,41.68408252
-87.71272527,41.68407726
-87.71321352,41.68407087
-87.71350212,41.684066
-87.71383261,41.68406032
-87.71411296,41.68405686
-87.71447657,41.68405127
-87.71468956,41.68404786
-87.71515398,41.68404184
-87.71547643,41.68403766
-87.71584979,41.68403193
-87.71631538,41.68402455
-87.71654533,41.68402043
-87.7169352,41.68401432
-87.71726568,41.68401005
-87.71738036,41.68400797
-87.71760467,41.6840034
-87.71782033,41.68399958
-87.71861628,41.68398888
-87.7189621,41.68398428
-87.71930679,41.68397932
-87.72006476,41.68396683
-87.72050475,41.68395959
-87.72078427,41.68395482
-87.72126023,41.6839467
-87.72156608,41.68394148
-87.72191869,41.68393506
-87.72225679,41.68392973
-87.72246764,41.6839273
-87.72280756,41.68392338
-87.72306135,41.68391787
-87.7236831,41.68390476
-87.72393107,41.68389954
-87.72439955,41.68389148
-87.72489572,41.68388342
-87.72728222,41.68385617
-87.7283083,41.68382692
-87.72846903,41.68382956
-87.72967646,41.6838
-87.73099499,41.6837813
-87.73195352,41.68376792
-87.73436869,41.68371654
-87.73678385,41.6836651
-87.73732841,41.68366929
-87.73765494,41.68366431
-87.737933,41.6836592
-87.73822163,41.6836543
-87.73856958,41.68364838
-87.73883995,41.68364325
-87.73944971,41.68363201
-87.73950474,41.68543787
-87.73958278,41.68724814
-87.73966082,41.68905842
-87.73973901,41.69085991
-87.73688208,41.69101291
-87.73668056,41.69102101
-87.7363877,41.69102819
