"District";"Latitude";"Longitude"
"15";41.884803231;-87.757676681
"4";41.71775251;-87.534979019
"2";41.827457035;-87.618116174
"11";41.87883089;-87.728673561
"4";41.725789447;-87.598997917
"9";41.818767624;-87.642150362
"6";41.746685097;-87.605110373
"6";41.751296874;-87.604457233
"19";41.964759616;-87.654782347
"6";41.748458232;-87.605159961
"7";41.765332603;-87.627981404
"8";41.813068037;-87.711332659
"5";41.681031142;-87.633566588
"19";41.965446656;-87.653557974
"6";41.750940418;-87.625130255
"6";41.7537726;-87.647762725
"25";41.938490341;-87.772983806
"14";41.914000353;-87.677540823
"24";42.015352412;-87.680482218
"6";41.751268302;-87.606011403
"14";41.910582234;-87.71332227
"14";41.920619959;-87.686828106
"10";41.861991752;-87.711636999
"10";41.858514771;-87.715194702
"6";41.745354023;-87.603798903
"6";41.736264617;-87.627929503
"16";41.94638512;-87.747084132
"15";41.888662662;-87.748644193
"14";41.912690293;-87.690945816
"15";41.879375193;-87.745236739
"11";41.88096768;-87.737940272
"7";41.779015962;-87.64476985
"25";41.928032146;-87.733346589
"9";41.800904087;-87.656260771
"11";41.897875681;-87.728622497
"19";41.956694793;-87.649761271
"15";41.885709644;-87.7655569
"19";41.928730717;-87.678870949
"4";41.752899262;-87.577235119
"25";41.931871855;-87.720458909
"9";41.802681472;-87.663595729
"10";41.866225191;-87.721167065
"8";41.776965643;-87.684797361
"7";41.767842217;-87.644482458
"10";41.860033006;-87.706707538
"5";41.678950461;-87.621867799
"14";41.912416206;-87.715001884
"10";41.846151508;-87.720246411
"5";41.706987456;-87.620244029
"7";41.788824365;-87.646656011
"25";41.917395368;-87.749825967
"11";41.875287921;-87.723973982
"8";41.792585164;-87.769932905
"24";42.019232277;-87.66703966
"10";41.8602114;-87.718900712
"11";41.875287804;-87.723951952
"3";41.780243493;-87.615319321
"5";41.688666268;-87.62779438
"25";41.934512736;-87.728397817
"3";41.783432002;-87.615701737
"2";41.806762936;-87.624387416
"9";41.795463586;-87.659768922
"3";41.762060203;-87.582328703
"11";41.877448096;-87.732916675
"17";41.96731629;-87.713331369
"6";41.75350644;-87.665946948
"22";41.721212351;-87.66281599
"25";41.917161635;-87.726959751
"4";41.725789143;-87.598950298
"12";41.891093593;-87.706418743
"1";41.848398456;-87.626977894
"17";41.966635168;-87.70766427
"17";41.949348666;-87.727485593
"24";42.007913834;-87.665847907
"1";41.867428687;-87.626342565
"1";41.866996231;-87.62741936
"12";41.882099961;-87.685031596
"6";41.751290617;-87.604768806
"6";41.755578135;-87.598020739
"6";41.744888894;-87.60748686
"22";41.711714647;-87.642954141
"5";41.720722423;-87.628637971
"22";41.724471968;-87.650590926
"6";41.751307057;-87.60346764
"10";41.850236262;-87.684028427
"6";41.750869391;-87.601533966
"14";41.909559156;-87.711895721
"5";41.673368481;-87.635746949
"8";41.77499619;-87.69328587
"5";41.65308909;-87.602396648
"4";41.71299065;-87.553694982
"6";41.747131364;-87.607545884
"7";41.769414467;-87.66394187
"15";41.868564996;-87.774241056
"17";41.968399595;-87.713717998
"4";41.726956515;-87.596112561
"4";41.740086678;-87.553909599
"22";41.735479162;-87.653324829
"22";41.735027712;-87.648471375
"5";41.686704494;-87.618095681
"3";41.766700081;-87.573869353
"5";41.695281278;-87.626198882
"2";41.786633237;-87.62387955
"18";41.900489748;-87.638224621
"15";41.879360779;-87.756462342
"4";41.756550472;-87.592600053
"8";41.773732109;-87.687586781
"7";41.791594085;-87.656025055
"5";41.684377964;-87.632457671
"19";41.96293305;-87.655893751
"7";41.769555461;-87.671224307
"11";41.883290597;-87.731866791
"8";41.780557179;-87.686125076
"24";42.012915394;-87.674685821
"8";41.797364435;-87.762446284
"8";41.772646753;-87.693228577
"15";41.88884215;-87.750482528
"8";41.778749762;-87.687290803
"16";41.952753411;-87.803915999
"6";41.750930319;-87.626163816
"25";41.916097342;-87.726528927
"9";41.804902265;-87.671285969
"8";41.749113213;-87.708476357
"16";41.951531472;-87.750503627
"22";41.726311229;-87.6567185
"8";41.779127732;-87.692548187
"15";41.900357815;-87.761562887
"8";41.735474554;-87.714159295
"9";41.814041496;-87.666676164
"8";41.79413314;-87.717056878
"19";41.953480143;-87.688451919
"4";41.751457646;-87.552892516
"8";41.776819976;-87.694554571
"4";41.731388633;-87.551289043
"4";41.707499286;-87.536493875
"22";41.726230788;-87.637278144
"8";41.776891588;-87.687239794
"10";41.843775806;-87.714771407
"15";41.880028798;-87.755057267
"25";41.917067855;-87.734187818
"5";41.662960707;-87.617692438
"4";41.709410652;-87.566948334
"6";41.750880891;-87.600324481
"24";42.007891504;-87.666727525
"15";41.877549508;-87.756449257
"14";41.907334189;-87.710488249
"4";41.719533778;-87.536195039
"9";41.822562231;-87.694646782
"4";41.7022489;-87.532867467
"12";41.861559271;-87.65976218
"11";41.8792196;-87.699484492
"6";41.750756859;-87.60153158
"14";41.914708954;-87.698148807
"12";41.902514714;-87.671145473
"15";41.899681718;-87.760808562
"4";41.708029389;-87.569290282
"8";41.81230662;-87.748176294
"24";42.021148015;-87.669934375
"11";41.86804111;-87.721021242
"11";41.875291694;-87.723650826
"24";42.019463349;-87.682442143
"24";NA;NA
"11";41.875312549;-87.721895497
"17";41.963899748;-87.716897998
"5";41.654407483;-87.609509934
"6";41.750589446;-87.601529817
"19";41.940005429;-87.647616619
"18";41.923870246;-87.658409009
"7";41.764584045;-87.63708369
"12";41.902941562;-87.695157754
"3";41.769255825;-87.619800447
"3";41.769898673;-87.593443605
"14";41.905881059;-87.663903147
"15";41.884827928;-87.757676459
"25";41.912603782;-87.770689944
"22";41.690082704;-87.642306781
"11";41.869918957;-87.686131313
"6";41.733868534;-87.622537043
"4";41.758953942;-87.5694672
"5";41.708605106;-87.618676996
"7";41.766159533;-87.648081733
"11";41.875292084;-87.723724259
"15";41.886028822;-87.755274922
"15";41.886028822;-87.755274922
"7";41.786388084;-87.648603379
"3";41.759585449;-87.560487297
"25";41.919261775;-87.768551783
"4";41.741104837;-87.545063024
"6";41.755554244;-87.653867946
"19";41.936004342;-87.671938484
"7";41.769661943;-87.644525308
"8";41.782435869;-87.684947566
"25";41.906774636;-87.72642619
"3";41.758410906;-87.624765909
"6";41.737024044;-87.657016426
"6";41.728926721;-87.602955362
"4";41.725836347;-87.595608844
"4";41.75310656;-87.565047114
"3";41.76635651;-87.591002701
"4";41.75448001;-87.578491956
"6";41.756088155;-87.599242695
"6";41.751356135;-87.598680937
"8";41.781841608;-87.691032576
"8";41.779202686;-87.687799543
"22";41.689684448;-87.666405656
"8";41.776260208;-87.692103796
"8";41.778601502;-87.684843206
"16";41.956597646;-87.784542177
"11";41.866478936;-87.698652145
"24";41.992396228;-87.660341437
"15";41.877460325;-87.763320271
"7";41.773068142;-87.644613509
"8";41.778749727;-87.684849045
"5";41.699444855;-87.60734266
"19";41.969076418;-87.65574041
"15";41.893840698;-87.771104406
"9";41.795997549;-87.648431423
"10";41.865417011;-87.717830262
"15";41.885617462;-87.756967941
"15";41.902285673;-87.752545936
"5";41.690567503;-87.621025854
"4";41.751768;-87.563505555
"4";41.758493846;-87.570022427
"4";41.758493846;-87.570022427
"8";41.813747422;-87.747110377
"22";41.689753052;-87.649592519
"10";41.865576557;-87.721496324
"5";41.692587095;-87.622761045
"22";41.680550031;-87.671409011
"6";41.746691813;-87.664914523
"6";41.750323974;-87.658588247
"9";41.794537084;-87.631075448
"15";41.894945957;-87.75494476
"24";42.0164882;-87.683329906
"5";41.702657202;-87.623393566
"14";41.903464369;-87.696893755
"5";41.703974705;-87.623430342
"7";41.782134563;-87.663050623
"6";41.746707409;-87.663822346
"24";42.010413978;-87.661178143
"9";41.813229341;-87.633483105
"6";41.749258795;-87.664624041
"6";41.746691707;-87.664896201
"5";41.692669318;-87.616997089
"5";41.677437288;-87.634670739
"8";41.77842209;-87.701900574
"6";41.742921834;-87.674539337
"11";41.894647978;-87.706527228
"8";41.780071261;-87.683662489
"3";41.764203594;-87.589938875
"11";41.877016544;-87.7312096
"8";41.77499619;-87.69328587
"5";41.695313622;-87.620772103
"25";41.922707775;-87.722310394
"15";41.885637805;-87.7704749
"14";41.933229942;-87.695216072
"10";41.862389186;-87.716126551
"16";41.98287878;-87.791440835
"4";41.724966184;-87.585387381
"6";41.751291477;-87.604904392
"9";41.80409735;-87.669713456
"7";41.788274362;-87.67171376
"24";42.007243697;-87.670012628
"7";41.785856544;-87.657086458
"5";41.656972482;-87.59768703
"4";41.699913456;-87.532863475
"22";41.736016065;-87.647618185
"19";41.966532495;-87.656197583
"24";42.011797195;-87.6701677
"24";42.014689825;-87.674980298
"8";41.780351295;-87.6885543
"22";41.700540574;-87.642634251
"20";41.983563868;-87.701598989
"7";41.776952549;-87.671434191
"7";41.787184733;-87.671688296
"7";41.763209331;-87.655935122
"7";41.786291714;-87.664386014
"11";41.902690236;-87.724169003
"3";41.774093686;-87.607047693
"17";41.945027111;-87.735977218
"6";41.747614481;-87.60582911
"12";41.855103027;-87.66462748
"22";41.699678022;-87.639307577
"14";41.917394916;-87.707528204
"11";41.874256054;-87.733350445
"8";41.785507193;-87.689910651
"9";41.8003128;-87.701311625
"15";41.901792655;-87.748406876
"15";41.873907294;-87.757972738
"20";41.97288286;-87.667978956
"10";41.866264617;-87.718273702
"10";41.855497329;-87.699810548
"12";41.88110009;-87.692683446
